project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月,pre_avg,post_avg,pre_std,post_std,absolute_change,relative_change,pre_trend_r2,post_trend_r2,pre_trend_slope,post_trend_slope,pre_zscore,post_zscore,zscore_change
piranhacms,2019-03-29T12:24:18.967Z,0,0,0,0,0,9,14,31,20,35,25,22,12,31,40,40,20,6.75,28.125,11.170752628436201,10.077379194441946,21.375,3.1666666666666665,0.6718728704990868,0.015482261130230187,0.0,0.0,0.7146216411203552,2.764693754785663,2.050072113665308
typia,2022-10-24T10:42:32.894Z,0,0,0,0,0,9,2,21,37,36,33,9,36,19,19,14,29,4.0,24.375,7.54036755451237,10.473606283006278,20.375,5.09375,0.5063412299593205,0.13302791407951753,0.0,0.0,0.24453121732623892,2.323329031121185,2.078797813794946
react-spring,2018-07-20T20:10:15.267Z,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,62,28,0.0,20.375,0.0,24.738272834964505,20.375,inf,0.0,0.636841366642073,0.0,0.0,-0.43923667182883946,1.852539992545742,2.2917766643745816
octobercms,2019-07-03T10:15:14.967Z,0,0,0,0,0,15,26,40,33,34,34,34,32,34,23,19,18,10.125,28.5,15.495967217311735,7.211102550927978,18.375,1.8148148148148149,0.7331251084504601,0.7771454735740453,0.0,0.0,1.2915507975949527,2.808830227152111,1.517279429557158
octobercms,2019-07-03T10:15:14.967Z,0,0,0,0,0,15,26,40,33,34,34,34,32,34,23,19,18,10.125,28.5,15.495967217311735,7.211102550927978,18.375,1.8148148148148149,0.7331251084504601,0.7771454735740453,0.0,0.0,1.2915507975949527,2.808830227152111,1.517279429557158
hexo,2019-07-10T22:32:10.443Z,0,0,0,0,0,0,0,0,0,0,0,0,33,32,32,19,30,0.0,18.25,0.0,15.736672365619649,18.25,inf,0.0,0.5493977227464393,0.0,0.0,-0.43923667182883946,1.602433315802538,2.0416699876313773
socketio,2017-05-09T06:56:43.674Z,0,0,0,0,0,0,0,0,0,0,9,21,20,30,26,22,13,0.0,17.625,0.0,9.75320460156558,17.625,inf,0.0,0.29285669589780716,0.0,0.0,-0.43923667182883946,1.528872528525125,1.9681092003539644
mswjs,2021-03-02T15:32:21.904Z,0,0,0,0,0,0,0,0,32,24,17,17,15,21,15,14,18,0.0,17.625,0.0,3.37797487937881,17.625,inf,0.0,0.24211938296445343,0.0,0.0,-0.43923667182883946,1.528872528525125,1.9681092003539644
cupy,2023-12-03T10:39:03.122Z,0,0,0,0,0,12,20,15,16,20,35,18,16,13,31,10,44,5.875,23.375,8.391109240482708,11.951539052117333,17.5,2.978723404255319,0.7014359383114138,0.03715345370552272,0.0,0.0,0.5650474153676819,2.2056317714773246,1.6405843561096427
cupy,2023-12-03T10:39:03.122Z,0,0,0,0,0,12,20,15,16,20,35,18,16,13,31,10,44,5.875,23.375,8.391109240482708,11.951539052117333,17.5,2.978723404255319,0.7014359383114138,0.03715345370552272,0.0,0.0,0.5650474153676819,2.2056317714773246,1.6405843561096427
moveable,2019-10-13T12:37:24.379Z,0,0,0,0,0,13,16,10,28,24,29,28,18,22,16,20,21,4.875,22.25,6.91659495086171,4.5591352563522705,17.375,3.5641025641025643,0.6349384098544236,0.39289805269186734,0.0,0.0,0.3941054430789123,2.073222354377981,1.6791169112990687
openandroidinstaller,2023-08-04T15:47:12.343Z,0,0,0,2,4,9,5,19,29,35,20,23,20,20,21,18,20,4.875,22.125,6.512350903146596,5.383506557731945,17.25,3.5384615384615383,0.7011328320802005,0.42956899333978826,0.0,0.0,0.3941054430789123,2.0585101969224984,1.664404753843586
core-js,2019-03-22T03:38:17.681Z,0,0,0,0,0,0,0,0,14,12,23,19,12,24,14,17,14,0.0,16.875,0.0,4.733995594179856,16.875,inf,0.0,0.013697590590020868,0.0,0.0,-0.43923667182883946,1.4405995837922294,1.8798362556210688
linkwarden,2023-12-09T16:00:16.178Z,0,0,0,1,17,9,41,28,30,45,24,40,28,14,15,29,36,12.0,28.875,15.510365197874245,11.166755507820012,16.875,1.40625,0.6968103155751613,0.10998820264178995,0.0,0.0,1.6120669956363955,2.8529666995185585,1.240899703882163
sagernet,2021-05-01T05:40:57.455Z,0,0,0,0,0,0,0,8,59,23,25,12,23,15,8,16,18,1.0,17.5,2.8284271247461903,5.9281411203561225,16.5,16.5,0.3333333333333334,0.24196670538133955,0.0,0.0,-0.26829469954006985,1.5141603710696423,1.7824550706097122
wolvic,2022-10-19T02:38:29.083Z,0,0,0,0,0,0,0,0,0,0,0,18,24,22,14,23,29,0.0,16.25,0.0,10.938137736509681,16.25,inf,0.0,0.6568301350390902,0.0,0.0,-0.43923667182883946,1.3670387965148163,1.8062754683436557
scikit-image,2022-05-05T19:49:34.994Z,0,0,0,0,0,0,0,0,0,7,13,23,18,17,15,13,19,0.0,15.625,0.0,4.808846015417836,15.625,inf,0.0,0.12800147085861377,0.0,0.0,-0.43923667182883946,1.2934780092374034,1.7327146810662428
scikit-image,2022-05-05T19:49:34.994Z,0,0,0,0,0,0,0,0,0,7,13,23,18,17,15,13,19,0.0,15.625,0.0,4.808846015417836,15.625,inf,0.0,0.12800147085861377,0.0,0.0,-0.43923667182883946,1.2934780092374034,1.7327146810662428
umap,2023-08-16T15:56:52.817Z,0,0,0,0,0,0,0,0,0,0,0,6,16,24,35,25,17,0.0,15.375,0.0,12.625795590207941,15.375,inf,0.0,0.6130198915009041,0.0,0.0,-0.43923667182883946,1.2640536943264382,1.7032903661552776
umap,2023-08-16T15:56:52.817Z,0,0,0,0,0,0,0,0,0,0,0,6,16,24,35,25,17,0.0,15.375,0.0,12.625795590207941,15.375,inf,0.0,0.6130198915009041,0.0,0.0,-0.43923667182883946,1.2640536943264382,1.7032903661552776
tinygo,2022-11-20T16:24:57.546Z,0,0,0,0,0,0,0,0,0,0,0,4,29,25,21,30,13,0.0,15.25,0.0,12.713884423843766,15.25,inf,0.0,0.4363360898933148,0.0,0.0,-0.43923667182883946,1.2493415368709557,1.6885782086997951
tinygo,2022-11-20T16:24:57.546Z,0,0,0,0,0,0,0,0,0,0,0,4,29,25,21,30,13,0.0,15.25,0.0,12.713884423843766,15.25,inf,0.0,0.4363360898933148,0.0,0.0,-0.43923667182883946,1.2493415368709557,1.6885782086997951
restsharp,2021-12-13T19:29:09.775Z,0,0,1,11,1,7,3,5,13,35,27,31,11,10,10,12,11,3.5,18.375,3.9279220242478625,10.689614452488787,14.875,4.25,0.1854056437389771,0.7013670290744833,0.0,0.0,0.15906023118185414,1.6171454732580206,1.4580852420761665
waydroid,2021-11-30T18:52:05.986Z,0,0,0,0,0,0,0,0,0,0,0,0,21,24,23,26,24,0.0,14.75,0.0,12.291111771171417,14.75,inf,0.0,0.7705730046155579,0.0,0.0,-0.43923667182883946,1.1904929070490253,1.6297295788778647
flutter-webrtc,2020-07-24T17:03:10.166Z,0,0,0,0,0,0,0,0,0,0,0,23,15,17,17,18,27,0.0,14.625,0.0,9.81161847723693,14.625,inf,0.0,0.6109741986202756,0.0,0.0,-0.43923667182883946,1.1757807495935426,1.615017421422382
gdevelop-community,2024-01-11T17:22:01.419Z,0,0,0,0,0,0,0,0,5,15,23,13,6,21,11,11,17,0.0,14.625,0.0,5.604526232048012,14.625,inf,0.0,0.03706110073364195,0.0,0.0,-0.43923667182883946,1.1757807495935426,1.615017421422382
appium-device-farm,2024-05-05T09:45:22.490Z,0,3,11,9,11,10,10,4,14,44,18,34,16,17,18,9,19,7.25,21.875,4.267819784654187,11.33184514038708,14.625,2.0172413793103448,0.17945845004668534,0.4720781929793195,0.0,0.0,0.8000926272647401,2.0290858820115334,1.2289932547467934
appium-device-farm,2024-05-05T09:45:22.490Z,0,3,11,9,11,10,10,4,14,44,18,34,16,17,18,9,19,7.25,21.875,4.267819784654187,11.33184514038708,14.625,2.0172413793103448,0.17945845004668534,0.4720781929793195,0.0,0.0,0.8000926272647401,2.0290858820115334,1.2289932547467934
keeweb,2019-09-07T20:12:21.594Z,0,0,17,20,15,17,12,26,30,45,28,20,21,10,20,47,32,13.375,27.875,9.19530159530243,12.911097109518948,14.5,1.0841121495327102,0.5648815809322675,0.00024995536511337275,0.0,0.0,1.8471122075334538,2.7352694398746977,0.8881572323412439
semantic-release,2021-05-06T15:34:23.381Z,0,0,0,0,0,0,6,15,19,11,28,10,23,20,15,10,19,2.625,17.0,5.423164600647327,6.6332495807108,14.375,5.476190476190476,0.5269320843091335,0.009353741496598641,0.0,0.0,0.009486005429180733,1.455311741247712,1.4458257358185311
vega-strike,2020-06-07T18:00:49.768Z,0,0,0,0,0,0,12,27,12,26,80,3,11,7,12,7,8,4.875,19.25,9.87692115127844,25.48809245790781,14.375,2.948717948717949,0.5404408880520908,0.2866881331972042,0.0,0.0,0.3941054430789123,1.7201305754463987,1.3260251323674863
