project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月,+7月,+8月
spec,2020-06-16T15:37:43.078Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cocnvim,2020-11-09T16:36:41.750Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcss,2019-12-23T19:20:30.096Z,0,47,0,0,0,39,23,0,0,9,5,0,0,6,4,0,0
warzone2100,2021-07-27T22:22:39.357Z,14,43,15,3,6,52,5,21,4,8,9,9,14,0,2,2,5
goreleaser,2018-02-20T15:54:04.885Z,0,0,2,20,11,13,44,31,19,8,6,2,4,2,1,15,8
react-hook-form,2019-09-23T19:35:01.451Z,0,0,0,0,0,18,13,4,1,4,6,0,0,23,60,93,89
xgboost,2019-03-04T22:36:17.327Z,2,0,1,1,1,1,0,0,0,47,0,4,0,0,1,4,0
signalk,2021-12-11T08:45:45.802Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
readarr,2020-05-31T18:48:40.076Z,0,0,0,0,0,0,0,2,4,0,0,1,0,12,3,0,72
mudblazor,2020-11-12T21:16:48.785Z,0,0,0,0,0,0,0,0,0,11,19,9,0,9,0,0,1
asyncapi,2019-03-10T01:52:36.842Z,4,0,0,5,0,0,0,60,78,12,0,0,1,4,4,3,0
localstack,2017-09-20T20:02:33.664Z,0,0,1,1,0,0,0,5,0,1,0,0,0,0,0,0,1
pytest,2019-07-04T11:04:51.583Z,1,1,7,1,1,3,15,0,0,4,0,2,4,0,4,4,0
serverest,2020-10-15T18:37:53.720Z,0,44,1,17,25,76,7,62,153,14,26,26,14,28,9,19,0
rvm,2019-01-07T18:21:09.433Z,2,8,2,0,2,7,8,0,5,0,1,0,10,8,38,2,0
mvvmcross,2017-04-25T12:51:57.157Z,0,9,5,0,3,21,19,14,36,171,43,62,35,41,37,93,108
react-three-fiber,2019-09-12T00:58:24.973Z,0,0,0,11,12,0,0,0,16,1,1,2,4,1,0,4,1
fedibird-project,2021-08-04T04:37:25.759Z,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0
react-spring,2018-07-20T20:10:15.267Z,0,0,0,0,0,4,2,5,6,10,2,0,0,13,5,3,1
uptime-kuma,2021-08-28T19:41:32.486Z,0,0,0,0,0,0,0,7,18,19,20,8,0,0,14,3,1
webdriverio,2021-03-23T13:42:03.019Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stylelint,2018-04-10T18:55:24.697Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thecodebarbarian,2020-11-02T13:34:48.673Z,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
browserslist,2020-01-30T19:16:31.799Z,3,0,0,0,0,0,2,7,3,12,34,89,40,42,113,66,79
ccxt,2018-01-17T20:56:56.622Z,0,0,0,5,4,12,27,11,45,38,12,17,32,13,12,4,4
privacyguides,2019-11-01T01:09:46.232Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
react-router,2019-02-27T21:23:09.508Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ariakit,2018-09-24T08:13:46.297Z,0,1,0,0,9,3,33,83,76,12,47,5,1,1,0,2,27
floccus,2019-09-17T01:07:43.438Z,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,1
bookwyrm,2021-02-21T15:56:41.081Z,6,0,0,4,0,17,10,32,36,50,160,61,80,18,24,3,68
tiddlywiki,2021-03-24T15:28:59.649Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iosdevspace,2022-11-19T22:54:28.208Z,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
jmonkeyengine,2020-11-03T08:06:31.349Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nock,2018-04-27T19:33:16.584Z,2,12,6,7,0,2,7,17,0,1,2,18,18,5,3,0,19
pypy,2018-10-29T03:03:46.408Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
react-pdf,2017-06-06T17:11:19.481Z,0,0,0,0,0,2,15,2,0,0,0,0,4,0,4,5,0
jss,2017-06-05T21:41:05.879Z,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,45,0
stc,2022-11-06T12:44:07.966Z,0,0,0,0,0,0,0,43,373,197,245,373,328,122,68,40,3
android-password-store,2018-09-01T13:36:30.213Z,0,0,0,0,3,0,0,0,0,0,0,4,13,94,12,0,3
selfdefined,2020-03-08T22:52:50.373Z,0,0,1,10,82,1,18,182,97,41,261,331,52,214,100,135,94
yew,2020-01-11T17:09:35.853Z,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
verdaccio,2018-05-03T22:26:59.247Z,0,0,0,22,15,10,31,4,5,86,147,165,39,49,95,25,31
enspiral-europe,2022-10-06T20:25:03.655Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gtk-rs,2020-04-02T16:48:36.029Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,333
guppe-groups,2022-11-22T17:39:59.918Z,0,8,28,8,4,0,0,2,38,5,20,6,0,2,3,4,3
ohmyzsh,2020-05-18T02:12:23.021Z,4,5,19,43,11,18,30,8,25,19,26,14,8,44,33,20,29
yourls,2017-05-02T12:30:56.998Z,0,0,0,0,0,0,0,7,0,0,0,0,19,3,2,0,0
srs-server,2021-12-13T03:30:06.952Z,25,8,18,20,16,14,12,23,59,64,37,37,3,6,3,3,11
strapi,2018-05-25T19:29:12.899Z,1,0,0,0,0,6,1,0,1,4,0,6,4,4,1,0,0
fast-endpoints,2023-05-22T08:03:21.307Z,8,8,0,0,0,0,0,0,0,0,0,2,1,9,0,51,104
azuracast,2018-01-25T09:16:38.136Z,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
kavita,2021-07-28T05:41:56.753Z,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
betonquest,2021-10-17T12:09:05.017Z,19,16,10,32,24,29,6,26,11,0,3,9,11,8,33,8,27
livetl,2021-02-27T18:32:12.657Z,0,0,0,0,0,1,67,24,8,15,29,48,22,103,150,52,33
ajv,2019-11-02T17:08:11.197Z,0,0,0,0,0,2,2,0,0,0,3,5,0,1,7,4,0
peercoin,2020-07-26T20:55:55.186Z,11,2,13,11,9,2,7,1,2,13,2,0,0,0,4,11,15
huntr,2021-08-26T22:22:59.439Z,186,198,73,27,4,61,45,58,66,56,11,123,49,6,13,24,0
hydra-synth,2021-02-17T10:50:43.831Z,2,2,14,13,4,2,6,9,4,5,13,1,0,3,1,1,18
lint-staged,2018-10-14T17:47:26.056Z,9,8,4,18,5,0,3,27,50,16,6,35,4,0,0,0,43
ethical-source,2020-02-15T19:00:57.469Z,0,0,0,0,60,0,0,0,12,87,56,15,11,1,3,1,0
ant-design,2019-05-03T19:33:11.235Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nextauth,2021-07-05T15:57:53.124Z,0,20,4,34,33,63,60,40,22,15,0,1,1,0,1,39,29
known,2019-01-24T13:47:33.191Z,10,4,6,6,138,93,59,64,29,24,33,48,21,44,30,5,12
task,2018-04-23T15:30:55.969Z,9,9,0,6,0,1,0,0,0,0,5,18,0,0,0,27,0
clojure-lsp,2021-01-10T02:03:17.960Z,0,6,0,25,0,0,0,8,35,16,5,1,3,14,13,0,2
altair,2018-04-09T20:55:13.657Z,0,0,0,10,2,0,0,8,0,1,1,12,0,3,44,90,35
kivymd,2020-04-28T12:53:31.566Z,0,1,0,0,4,0,0,5,0,0,2,0,6,68,53,85,19
fakerjs,2017-02-22T13:38:55.200Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ovenmediaengine,2021-07-03T16:14:46.609Z,0,0,0,0,4,6,8,0,2,2,2,2,1,2,11,0,0
dhall,2019-09-04T00:29:42.746Z,0,2,68,45,62,37,129,57,29,35,79,69,31,46,33,141,150
nix-errors-enhancement,2020-03-12T14:42:45.424Z,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
lyrion,2024-10-23T11:31:07.619Z,11,54,107,53,163,71,81,70,269,210,240,191,121,177,163,69,45
cpprefjp,2023-03-23T19:49:54.163Z,0,0,27,6,12,34,97,39,39,20,7,2,20,3,6,19,20
thpatch,2018-12-04T01:02:29.774Z,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
colour-science,2019-10-31T13:37:00.780Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spotiflyer,2021-05-10T18:41:38.094Z,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
orbitdb,2020-07-07T20:09:43.858Z,9,0,0,0,13,2,95,32,79,51,37,16,23,22,6,8,43
ellie,2017-12-07T19:28:17.395Z,0,0,0,0,0,0,18,0,11,5,3,15,1,4,6,1,5
lawnchair,2024-08-05T13:16:12.013Z,98,7,17,1,23,34,3,6,32,26,4,10,141,201,190,85,51
amplifying-fsharp,2024-03-04T08:54:15.547Z,4,11,2,12,23,9,36,8,18,7,3,2,0,0,0,10,10
react-native-elements,2017-04-16T07:36:50.231Z,0,0,0,1,12,5,13,31,73,29,41,36,26,7,8,13,22
dnscrypt,2019-07-19T18:00:08.162Z,3,1,0,0,4,2,4,0,0,0,9,13,0,1,0,0,0
wechaty,2019-05-03T09:31:19.226Z,14,11,6,0,0,0,5,8,0,0,0,27,0,12,0,11,10
komga,2020-06-13T23:42:15.416Z,0,0,0,1,10,17,0,0,0,40,2,0,0,0,0,0,9
drupal-recording-initiative,2019-01-07T23:59:20.040Z,0,0,0,0,0,0,0,0,4,9,1,3,4,5,2,3,1
codeceptjs,2020-11-16T13:18:25.237Z,73,34,129,39,24,31,18,15,8,2,2,12,12,5,0,2,0
monnaie-libre,2018-06-13T18:24:34.193Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mithriljs,2019-01-29T16:21:54.157Z,51,7,0,0,43,23,138,11,37,2,4,5,0,43,56,68,67
clap,2020-08-14T09:39:33.988Z,0,0,5,31,72,4,0,0,0,0,4,1,0,0,0,2,0
communitybridge,2022-03-08T11:38:57.114Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
betterdisplay,2021-10-28T17:10:29.989Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
remmina,2021-06-02T23:48:08.795Z,2,2,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
piranhacms,2019-03-29T12:24:18.967Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0
sequelize,2021-10-07T19:51:56.840Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
git-bug,2018-09-28T17:57:39.159Z,0,0,0,0,0,0,0,2,19,49,0,36,39,24,20,28,101
node-fetch,2020-08-20T01:53:27.641Z,0,0,0,3,15,115,43,0,4,4,3,0,17,30,4,0,0
codeception,2019-10-22T23:21:56.532Z,12,22,10,23,16,21,39,25,21,29,19,7,1,23,2,5,15
libsodium,2019-07-04T00:08:23.740Z,24,31,25,24,10,71,53,8,45,59,33,49,29,30,28,18,25
openpracticelibrary,2023-07-13T08:12:57.676Z,0,3,31,74,29,34,19,32,56,58,89,52,42,24,70,39,52
gureum,2019-06-11T08:35:48.007Z,115,79,17,16,4,1,11,88,82,23,9,238,137,47,6,5,9
catppuccin,2022-08-30T23:27:35.724Z,0,0,1,0,0,0,0,0,1,0,3,22,58,139,102,38,53
mswjs,2021-03-02T15:32:21.904Z,0,61,43,82,49,48,98,107,40,45,6,29,4,5,15,20,50
vite,2023-02-06T02:20:16.680Z,1,2,4,0,0,0,0,1,0,3,2,0,2,0,1,0,3
svgr,2018-09-26T14:08:30.564Z,0,0,5,0,14,1,5,3,5,15,25,2,11,4,1,9,5
omigroup,2021-06-30T16:41:44.516Z,0,0,0,0,0,0,1,18,10,29,14,18,30,50,67,41,35
cronus,2022-08-10T12:11:17.423Z,0,0,1,0,5,0,2,1,1,1,0,1,3,0,1,1,0
craftjs,2020-07-12T13:49:54.415Z,0,0,57,17,37,35,57,61,21,14,13,16,42,14,45,137,58
xmake,2019-09-05T06:58:05.080Z,0,0,0,0,1,14,8,34,2,0,0,0,0,5,0,0,10
immer,2019-09-16T02:15:08.079Z,12,26,1,45,3,0,0,2,8,22,0,5,3,6,3,2,3
jrnl,2020-03-11T04:05:38.015Z,5,5,0,16,59,13,25,13,8,13,56,30,88,67,15,62,77
mediasoup,2019-02-26T15:27:52.552Z,0,0,1,0,19,6,3,11,0,3,0,7,3,3,0,0,5
masscode,2021-04-29T19:08:39.551Z,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
terser,2019-09-04T10:46:37.653Z,5,34,54,12,10,12,29,18,1,2,9,1,2,4,6,19,2
erxes,2018-01-15T22:38:40.546Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent-solid-test-suite,2021-05-06T10:31:58.632Z,5,1,2,1,1,8,9,0,3,0,0,2,0,0,0,1,1
ghcup,2021-09-14T20:17:37.801Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y-collective,2021-04-22T16:27:28.210Z,15,19,29,44,27,9,19,35,22,26,9,5,35,7,24,29,16
atom-material-themes-and-plugins,2018-04-26T16:06:02.659Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
babashka,2020-03-31T13:19:37.998Z,0,1,0,0,0,0,0,0,0,3,13,5,4,2,0,0,0
