project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月,pre_avg,post_avg,pre_std,post_std,absolute_change,relative_change,pre_trend_r2,post_trend_r2,pre_trend_slope,post_trend_slope,pre_zscore,post_zscore,zscore_change
milkdown,2021-07-16T05:06:22.824Z,0,0,0,0,1,3,2,2,2,4,6,3,4,7,7,6,5,1.0,5.25,1.1952286093343936,1.4880476182856899,4.25,4.25,0.6880952380952383,0.18586789554531497,0.0,0.0,-0.47796723935907665,0.4794917279347028,0.9574589672937794
hoppscotch,2019-10-14T16:13:59.176Z,0,0,0,0,0,0,15,18,13,15,11,9,10,5,5,7,4,4.125,8.25,7.679983258910325,3.7321001364608946,4.125,1.0,0.5824575061632282,0.7934065934065937,0.0,0.0,0.33504917559269964,1.1648077321368608,0.8297585565441612
bookwyrm,2021-02-21T15:56:41.081Z,2,0,2,1,1,5,4,4,10,6,8,8,6,4,7,7,6,2.375,6.5,1.7677669529663689,1.3093073414159542,4.125,1.736842105263158,0.5031292517006802,0.0496031746031746,0.0,0.0,-0.1202400167802951,0.7650400630189353,0.8852800797992304
stc,2022-11-06T12:44:07.966Z,0,0,0,0,0,0,0,9,11,8,6,12,5,5,2,2,1,1.125,5.125,3.181980515339464,3.6425069859723185,4.0,3.5555555555555554,0.3333333333333334,0.6281484329936552,0.0,0.0,-0.4454465827610056,0.45093689442627954,0.8963834771872852
neovim,2020-09-14T02:34:22.376Z,10,11,10,13,13,11,9,12,14,13,19,12,12,15,14,17,19,11.125,15.125,1.4577379737113252,2.900123150094541,4.0,0.3595505617977528,0.019607843137254905,0.16995248205439295,0.0,0.0,2.1562059450846784,2.7353235751001397,0.5791176300154612
discordpy,2022-04-03T00:50:44.364Z,22,0,0,0,0,0,17,41,27,26,17,21,16,12,11,4,5,10.0,14.0,15.371587890836595,7.559289460184544,4.0,0.4,0.17102838717107166,0.9005357142857144,0.0,0.0,1.863520035702039,2.4783300735243303,0.6148100378222914
sagernet,2021-05-01T05:40:57.455Z,0,0,0,0,0,0,0,5,3,4,2,7,7,1,3,6,7,0.625,4.625,1.7677669529663689,2.445841952609133,4.0,6.4,0.3333333333333333,0.0751954513148543,0.0,0.0,-0.5755292091532899,0.33671756039258655,0.9122467695458765
vuetify,2018-11-08T00:51:10.929Z,10,9,5,5,12,9,6,10,9,10,10,14,13,10,12,16,13,8.25,12.25,2.6049403612586386,2.187627547301936,4.0,0.48484848484848486,0.002005012531328321,0.31343283582089565,0.0,0.0,1.4082308433290442,2.078562404406405,0.6703315610773608
erxes,2018-01-15T22:38:40.546Z,1,1,1,2,4,5,5,6,6,10,6,8,6,4,8,7,7,3.125,7.0,2.100170061141308,1.7728105208558367,3.875,1.24,0.9178716020821284,0.08766233766233765,0.0,0.0,0.0748839228081312,0.8792593970526283,0.8043754742444972
react-admin,2022-01-27T02:31:10.515Z,4,8,4,2,7,5,4,6,8,7,10,8,9,7,8,11,11,5.0,8.875,1.927248223318863,1.6420805617960925,3.875,0.775,0.0009157509157509159,0.3030589719331442,0.0,0.0,0.562693771779197,1.307581899678977,0.74488812789978
walletconnect,2022-01-19T14:43:11.817Z,0,0,0,0,0,0,0,0,0,0,1,3,6,8,5,6,2,0.0,3.875,0.0,2.7998724460742337,3.875,inf,0.0,0.23961384098058358,0.0,0.0,-0.7381324921436451,0.16538855934204702,0.9035210514856921
vuepress-theme-hope,2021-09-13T00:38:32.733Z,0,0,0,0,1,1,1,1,1,1,0,1,2,4,4,8,14,0.5,4.25,0.5345224838248488,4.6827952580239325,3.75,7.5,0.761904761904762,0.7819140685590198,0.0,0.0,-0.6080498657513609,0.2510530598673168,0.8591029256186777
quinn-rs,2024-03-22T21:21:44.708Z,3,5,3,4,3,5,4,6,8,7,5,6,8,6,10,8,13,4.125,7.875,1.1259916264596033,2.5877458475338284,3.75,0.9090909090909091,0.295774647887324,0.5700317460317459,0.0,0.0,0.33504917559269964,1.079143231611591,0.7440940560188913
monitorcontrol,2021-08-19T19:31:47.381Z,1,0,0,1,0,1,1,3,12,13,11,2,1,4,4,2,0,0.875,4.625,0.9910312089651149,4.779046527738113,3.75,4.285714285714286,0.3818181818181819,0.6005063479653006,0.0,0.0,-0.5104878959571477,0.33671756039258655,0.8472054563497342
vuepress-theme-hope,2021-09-13T00:38:32.733Z,0,0,0,0,1,1,1,1,1,1,0,1,2,4,4,8,14,0.5,4.25,0.5345224838248488,4.6827952580239325,3.75,7.5,0.761904761904762,0.7819140685590198,0.0,0.0,-0.6080498657513609,0.2510530598673168,0.8591029256186777
tahoe-lafs,2020-06-22T08:22:28.915Z,3,2,3,3,3,3,3,2,5,6,7,7,7,6,8,7,4,2.75,6.5,0.4629100498862757,1.1952286093343936,3.75,1.3636363636363635,0.015873015873015876,0.08571428571428573,0.0,0.0,-0.022678046986081946,0.7650400630189353,0.7877181100050172
quinn-rs,2024-03-22T21:21:44.708Z,3,5,3,4,3,5,4,6,8,7,5,6,8,6,10,8,13,4.125,7.875,1.1259916264596033,2.5877458475338284,3.75,0.9090909090909091,0.295774647887324,0.5700317460317459,0.0,0.0,0.33504917559269964,1.079143231611591,0.7440940560188913
clojure-lsp,2021-01-10T02:03:17.960Z,2,2,1,6,1,1,1,6,10,9,6,8,6,4,5,8,3,2.5,6.125,2.2038926600773587,2.100170061141308,3.625,1.45,0.05672268907563026,0.3564680933101986,0.0,0.0,-0.08771936018222405,0.6793755624936656,0.7670949226758896
react-hook-form,2019-09-23T19:35:01.451Z,0,0,1,3,1,4,7,4,4,8,8,7,7,4,5,4,6,2.5,6.125,2.449489742783178,1.6420805617960925,3.625,1.45,0.6944444444444446,0.5830968148848944,0.0,0.0,-0.08771936018222405,0.6793755624936656,0.7670949226758896
react-native-elements,2017-04-16T07:36:50.231Z,0,3,2,2,3,5,5,7,9,9,6,10,4,2,10,5,9,3.375,6.875,2.1998376563477846,3.044315545875155,3.5,1.037037037037037,0.8365840801265154,0.004495825305073861,0.0,0.0,0.1399252360042733,0.8507045635442051,0.7107793275399318
amogos,2021-08-12T20:08:35.183Z,0,0,0,0,0,2,3,3,2,7,6,7,7,4,5,0,0,1.0,4.5,1.4142135623730951,2.9760952365713798,3.5,3.5,0.7500000000000001,0.7434715821812599,0.0,0.0,-0.47796723935907665,0.3081627268841633,0.7861299662432399
