project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,1月,2月,3月,4月,5月,6月,7月,8月
poweradmin,2022-01-27T02:34:13.532Z,0,0,0,0,0,0,0,0,1,0,1,1,0,4,0,1,4
xgo,2022-08-31T00:20:42.719Z,3,1,2,2,3,1,1,2,4,1,2,8,1,6,4,1,3
vue-lazy-hydration,2019-09-23T14:25:08.173Z,0,0,0,0,0,1,0,0,0,3,0,1,1,0,1,1,4
alovoa,2023-01-14T19:56:18.740Z,0,1,1,1,2,7,6,4,12,3,5,6,1,0,0,7,10
ihateregex,2020-02-17T12:07:51.308Z,0,0,0,0,0,0,0,3,29,2,3,2,1,3,2,0,0
apollonet,2021-07-13T14:50:58.192Z,0,3,1,1,3,0,0,0,0,1,1,1,11,1,3,0,0
mediasoup,2019-02-26T15:27:52.552Z,0,1,0,0,2,3,2,2,2,1,1,6,2,4,2,0,4
ocrmypdf,2019-09-27T14:09:43.503Z,1,2,5,2,0,0,0,0,1,0,1,1,2,7,5,3,1
witchcraft,2019-02-14T03:41:55.032Z,1,1,0,0,0,0,0,0,7,3,5,1,1,0,0,1,0
syspass,2022-04-28T08:50:25.111Z,1,3,0,0,1,0,0,4,0,3,11,3,0,0,0,1,0
panda3d,2019-02-27T19:41:06.200Z,9,4,5,5,6,9,11,20,9,13,18,10,6,5,8,10,8
babybuddy,2021-09-25T21:57:49.734Z,3,2,0,4,7,3,18,14,7,10,5,5,7,8,5,14,6
libsodium,2019-07-04T00:08:23.740Z,1,3,2,1,0,2,4,2,2,1,11,3,2,2,2,0,3
omigroup,2021-06-30T16:41:44.516Z,0,0,0,0,0,0,2,0,1,2,1,1,0,1,1,2,3
unofficial-shopee-php,2024-07-15T03:40:55.477Z,0,0,0,0,0,0,0,0,0,1,1,0,5,0,2,0,0
urduhack,2019-07-04T23:24:10.198Z,0,0,10,6,0,0,2,1,5,6,1,1,4,8,1,4,3
leafletjs,2022-05-25T14:51:15.930Z,16,19,75,35,51,33,38,52,37,24,14,22,40,99,42,59,28
ffpopup,2018-12-18T09:37:36.048Z,0,0,0,0,0,0,0,0,9,0,0,0,6,0,3,0,0
