slug,first_donation_date,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月
bookwyrm,2021-02-21T15:56:41.081Z,0,0,0,0,0,0,0,0,0,0,0,0,0
jmonkeyengine,2020-11-03T08:06:31.349Z,0,0,0,0,0,0,0,0,0,0,0,0,0
nock,2018-04-27T19:33:16.584Z,0,0,0,0,0,0,0,0,0,0,0,0,0
floccus,2019-09-17T01:07:43.438Z,0,0,0,0,0,0,0,0,0,0,0,0,0
tiddlywiki,2021-03-24T15:28:59.649Z,0,0,0,0,0,0,0,0,0,0,0,0,0
iosdevspace,2022-11-19T22:54:28.208Z,0,0,0,0,0,0,25,0,0,1,0,1,1
pypy,2018-10-29T03:03:46.408Z,0,0,0,0,0,0,0,0,0,0,0,0,0
jss,2017-06-05T21:41:05.879Z,0,0,0,0,0,0,0,0,0,0,0,0,0
react-pdf,2017-06-06T17:11:19.481Z,0,0,0,0,0,0,0,0,0,0,0,0,0
android-password-store,2018-09-01T13:36:30.213Z,0,0,0,0,0,0,0,0,0,0,0,0,0
stc,2022-11-06T12:44:07.966Z,0,0,0,0,0,0,0,0,0,0,0,0,0
yew,2020-01-11T17:09:35.853Z,0,0,0,0,0,0,0,0,0,1,0,0,0
verdaccio,2018-05-03T22:26:59.247Z,0,0,0,0,0,0,0,0,0,1,0,0,0
selfdefined,2020-03-08T22:52:50.373Z,0,0,125,5,23,65,12,2,97,27,2,16,18
enspiral-europe,2022-10-06T20:25:03.655Z,0,0,0,0,0,0,0,0,0,0,0,0,0
ohmyzsh,2020-05-18T02:12:23.021Z,0,0,0,0,0,0,0,0,0,0,0,0,0
guppe-groups,2022-11-22T17:39:59.918Z,0,0,0,0,0,0,0,0,0,0,0,0,0
srs-server,2021-12-13T03:30:06.952Z,0,0,0,0,0,0,0,0,0,0,0,0,0
strapi,2018-05-25T19:29:12.899Z,0,0,0,1,0,0,0,0,0,0,0,0,0
gtk-rs,2020-04-02T16:48:36.029Z,0,0,0,0,0,0,3,76,131,92,23,70,0
yourls,2017-05-02T12:30:56.998Z,0,0,0,0,0,0,0,0,0,0,0,0,0
fast-endpoints,2023-05-22T08:03:21.307Z,0,0,0,0,0,0,0,0,0,0,0,0,0
kavita,2021-07-28T05:41:56.753Z,0,0,0,0,0,0,1,2,0,1,3,0,2
betonquest,2021-10-17T12:09:05.017Z,0,0,0,0,0,0,0,0,0,0,0,0,0
azuracast,2018-01-25T09:16:38.136Z,0,0,0,0,0,0,0,0,0,0,0,0,0
simplex-chat,2021-08-05T19:20:09.888Z,0,0,0,0,1,0,0,0,0,0,0,0,0
spotube,2022-03-17T06:43:53.531Z,0,0,0,0,0,0,0,0,0,0,0,0,0
openemr,2017-11-08T13:27:36.785Z,0,0,0,0,0,0,0,0,0,0,0,0,0
purescript,2019-11-07T03:47:05.722Z,2,0,0,0,0,0,0,0,0,0,0,1,0
libvips,2019-09-24T14:17:05.236Z,0,0,0,0,0,0,0,0,0,0,0,0,0
openlayers,2018-11-02T15:48:25.488Z,0,0,0,0,0,0,0,0,0,0,0,0,0
emberjs,2020-01-07T01:08:54.734Z,0,0,0,0,0,0,1,0,0,1,0,0,0
randovania,2022-10-17T22:09:32.960Z,4,26,14,13,20,10,20,19,16,12,13,9,11
ajv,2019-11-02T17:08:11.197Z,0,0,0,0,0,0,0,0,0,0,0,0,0
livetl,2021-02-27T18:32:12.657Z,0,0,0,0,0,0,0,0,0,0,0,0,0
huntr,2021-08-26T22:22:59.439Z,0,0,0,0,0,0,0,0,0,0,0,0,0
peercoin,2020-07-26T20:55:55.186Z,1,5,9,4,1,3,4,0,0,0,0,0,0
hydra-synth,2021-02-17T10:50:43.831Z,0,0,0,0,0,0,0,0,0,0,0,0,0
ant-design,2019-05-03T19:33:11.235Z,1,1,1,1,0,0,0,0,0,0,0,0,0
lint-staged,2018-10-14T17:47:26.056Z,0,0,0,0,0,0,0,0,0,0,0,0,0
nextauth,2021-07-05T15:57:53.124Z,0,1,0,0,4,0,0,0,0,0,0,0,0
task,2018-04-23T15:30:55.969Z,0,0,0,0,0,0,0,0,0,0,0,0,0
altair,2018-04-09T20:55:13.657Z,0,0,0,0,0,0,0,0,0,0,0,0,0
ethical-source,2020-02-15T19:00:57.469Z,0,0,107,11,2,4,59,19,6,9,9,2,1
known,2019-01-24T13:47:33.191Z,0,0,0,0,0,0,0,0,0,0,0,0,0
clojure-lsp,2021-01-10T02:03:17.960Z,0,0,0,0,0,0,0,0,0,0,0,0,0
fakerjs,2017-02-22T13:38:55.200Z,0,0,0,0,0,0,0,0,0,0,0,0,0
dhall,2019-09-04T00:29:42.746Z,0,0,0,0,1,3,0,0,0,0,0,0,0
kivymd,2020-04-28T12:53:31.566Z,0,0,0,0,0,0,0,0,0,0,0,0,0
lyrion,2024-10-23T11:31:07.619Z,0,0,0,0,0,0,0,0,0,0,0,1,0
nix-errors-enhancement,2020-03-12T14:42:45.424Z,0,0,0,0,0,0,0,0,0,0,0,0,0
cpprefjp,2023-03-23T19:49:54.163Z,0,0,0,0,0,0,0,0,0,0,0,0,0
ovenmediaengine,2021-07-03T16:14:46.609Z,0,0,0,0,0,0,0,0,0,0,0,0,0
spotiflyer,2021-05-10T18:41:38.094Z,0,0,0,0,0,0,0,0,0,0,0,0,0
lawnchair,2024-08-05T13:16:12.013Z,0,0,0,0,0,0,0,0,0,0,0,0,0
ellie,2017-12-07T19:28:17.395Z,0,0,0,0,0,0,0,0,0,0,0,0,0
react-native-elements,2017-04-16T07:36:50.231Z,0,0,0,0,0,0,0,1,0,0,0,0,0
orbitdb,2020-07-07T20:09:43.858Z,0,0,0,2,14,6,2,6,7,0,1,14,0
codeceptjs,2020-11-16T13:18:25.237Z,0,0,0,0,0,0,0,0,0,0,0,0,0
komga,2020-06-13T23:42:15.416Z,1,1,0,0,0,0,0,0,0,0,0,0,0
wechaty,2019-05-03T09:31:19.226Z,0,0,0,0,0,0,0,0,0,0,0,0,0
drupal-recording-initiative,2019-01-07T23:59:20.040Z,0,0,0,0,0,0,0,0,0,0,0,0,0
communitybridge,2022-03-08T11:38:57.114Z,0,0,0,0,0,0,0,0,0,0,0,1,0
monnaie-libre,2018-06-13T18:24:34.193Z,0,0,0,0,0,0,0,0,0,0,0,0,0
dnscrypt,2019-07-19T18:00:08.162Z,0,0,0,0,0,23,9,9,27,151,105,99,10
mithriljs,2019-01-29T16:21:54.157Z,0,0,0,0,0,0,0,0,0,0,0,0,0
sequelize,2021-10-07T19:51:56.840Z,0,0,0,0,0,0,0,1,1,0,2,0,1
betterdisplay,2021-10-28T17:10:29.989Z,0,0,0,0,0,0,0,0,0,0,0,0,0
remmina,2021-06-02T23:48:08.795Z,0,2,0,0,0,0,0,0,0,0,0,0,0
clap,2020-08-14T09:39:33.988Z,0,0,0,0,0,0,0,0,0,0,0,0,0
piranhacms,2019-03-29T12:24:18.967Z,0,0,0,0,0,0,0,1,0,0,0,0,0
codeception,2019-10-22T23:21:56.532Z,0,0,0,0,0,0,1,0,0,0,0,0,0
node-fetch,2020-08-20T01:53:27.641Z,0,1,0,0,0,0,0,0,0,0,0,0,0
openpracticelibrary,2023-07-13T08:12:57.676Z,0,0,0,0,0,0,0,0,0,0,0,0,0
libsodium,2019-07-04T00:08:23.740Z,0,0,0,0,0,0,0,0,0,0,0,0,0
git-bug,2018-09-28T17:57:39.159Z,0,0,0,0,0,0,0,11,2,52,22,38,21
gureum,2019-06-11T08:35:48.007Z,0,0,0,0,0,0,0,0,0,0,0,0,0
