project_name,first_donation_date,-8月,-7月,-6月,-5月,-4月,-3月,-2月,-1月,0月,+1月,+2月,+3月,+4月,+5月,+6月,+7月,+8月
coolify,2022-08-07T10:00:05Z,0,0,32,21,42,22,12,11,32,28,14,31,21,27,15,24,10
mkcert,2022-12-20T10:09:39Z,1,0,3,0,0,1,1,0,2,1,4,1,2,2,2,2,2
chumsky,2022-02-24T16:37:27Z,0,2,0,2,4,5,4,5,6,10,7,10,6,2,8,4,2
json,2019-12-14T04:08:42Z,6,3,4,6,4,7,10,7,4,6,7,12,15,21,25,41,11
Valetudo,2021-02-05T23:26:03Z,9,5,6,3,4,5,2,18,15,38,39,17,3,3,16,29,12
tiny11builder,2024-05-08T23:31:31Z,0,0,1,0,1,0,0,8,10,2,2,0,1,2,9,3,2
thiserror,2019-11-15T20:49:51Z,0,0,0,0,0,0,0,19,2,3,1,1,3,2,3,2,0
whoogle-search,2021-04-07T14:48:18Z,4,1,5,2,5,1,6,13,11,11,12,3,9,12,18,10,11
DearPyGui,2020-12-17T16:23:12Z,0,0,5,10,31,37,24,12,21,17,19,19,22,17,16,11,21
blitz,2022-05-17T18:03:54Z,0,0,0,0,0,0,0,1,0,3,1,0,1,0,0,5,4
Cocona,2021-05-16T18:02:05Z,0,0,0,0,0,0,0,1,0,0,0,6,0,0,2,1,16
create-better-t-stack,2025-05-18T13:04:39Z,0,0,0,0,0,40,48,71,54,56,59,53,26,18,0,0,0
anyhow,2019-11-15T20:49:51Z,0,0,0,0,0,0,0,18,8,1,1,1,5,2,3,1,1
dalfox,2024-10-10T11:42:10Z,10,4,9,1,3,1,4,7,0,1,22,5,11,42,16,19,10
personal-security-checklist,2021-11-18T03:24:35Z,2,2,1,0,0,1,0,0,21,1,2,1,0,39,5,7,0
mergerfs,2020-01-10T16:19:03Z,17,4,0,4,5,2,0,2,6,8,4,2,4,8,12,18,9
fyne,2020-03-30T16:26:38Z,7,22,12,16,19,12,19,26,43,55,71,36,31,13,39,86,56
html5ever,2024-03-13T09:25:45Z,3,6,0,0,0,0,0,1,10,11,0,5,1,2,2,4,2
rnote,2022-09-30T15:18:18Z,13,10,4,2,11,7,9,5,5,20,24,20,24,20,18,19,13
n8n-mcp,2025-08-08T07:20:34Z,0,0,0,0,0,0,0,17,16,41,82,4,0,0,0,0,0
just,2024-04-02T21:29:20Z,3,1,17,16,31,40,15,16,5,61,53,38,23,34,23,24,33
commander.js,2019-08-24T17:31:51Z,2,2,4,5,6,10,6,10,18,17,13,10,16,16,30,12,11
changesets,2024-03-21T13:01:36Z,7,6,4,2,8,2,4,2,6,3,14,12,15,9,14,22,18
hoppscotch,2022-02-02T16:51:36Z,23,5,24,18,42,36,17,14,15,35,39,60,57,53,61,66,93
khoj,2023-10-26T14:57:42Z,6,8,0,2,13,44,26,7,17,35,14,20,17,14,25,20,25
Resume-Matcher,2025-01-20T17:21:57Z,6,7,4,1,2,1,1,5,4,3,2,20,17,10,52,10,2
Flow.Launcher,2022-08-01T11:14:58Z,62,25,12,18,5,5,8,12,10,36,34,63,81,49,26,22,27
metrics,2021-05-24T21:35:26Z,0,5,2,15,32,29,22,50,40,26,17,43,25,38,28,18,52
pest,2022-10-06T02:02:01Z,1,1,1,0,0,15,15,3,3,10,4,12,5,5,7,3,7
ssh-chat,2019-12-05T19:56:59Z,0,0,0,1,0,0,1,1,0,6,0,2,5,1,1,3,1
SaaS-Boilerplate,2023-11-22T14:29:10Z,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,2
rust-jwt-simple,2020-11-17T16:10:22Z,0,0,0,0,0,0,2,2,1,5,1,2,2,5,0,2,1
typebot.io,2023-10-16T21:34:41Z,3,2,1,12,4,12,6,14,13,5,19,17,27,19,20,19,12
PrismLauncher,2023-04-04T19:38:37Z,0,0,118,69,59,33,26,24,22,20,86,94,59,20,54,49,30
webtorrent-desktop,2021-07-28T15:43:47Z,7,3,2,1,1,1,36,26,19,16,7,23,6,7,18,12,42
bench,2020-08-29T21:39:44Z,0,0,0,0,0,0,0,0,0,2,9,1,2,0,0,0,2
tweakcn,2025-05-31T02:16:33Z,0,0,0,0,0,0,9,20,38,19,47,4,6,6,0,0,0
LibreCAD,2023-05-23T01:48:29Z,1,0,0,3,0,2,0,0,0,10,10,6,0,2,4,0,1
