slug,name,owner,description,stargazerCount,forkCount,watchersCount,openIssuesCount,openPullRequestsCount,releasesCount,primaryLanguage,createdAt,updatedAt,url,hasGithubSponsor
nodegui_nodegui-plugin-webview,nodegui-plugin-webview,nodegui,[WIP] A NodeGui plugin that adds webview support,31,6,4,7,8,1,C++,2019-11-23T18:36:49Z,2025-04-10T11:45:31Z,https://github.com/nodegui/nodegui-plugin-webview,True
nodegui_nodegui-plugin-webview,nodegui-plugin-webview,nodegui,[WIP] A NodeGui plugin that adds webview support,31,6,4,7,8,1,C++,2019-11-23T18:36:49Z,2025-04-10T11:45:31Z,https://github.com/nodegui/nodegui-plugin-webview,True
crownpku_rasa_nlu_chi,Rasa_NLU_Chi,crownpku,Turn Chinese natural language into structured data 中文自然语言理解,1530,420,71,77,6,0,Python,2017-06-21T03:00:36Z,2025-08-01T01:30:11Z,https://github.com/crownpku/Rasa_NLU_Chi,True
crownpku_rasa_nlu_chi,Rasa_NLU_Chi,crownpku,Turn Chinese natural language into structured data 中文自然语言理解,1530,420,71,77,6,0,Python,2017-06-21T03:00:36Z,2025-08-01T01:30:11Z,https://github.com/crownpku/Rasa_NLU_Chi,True
sindresorhus_import-modules,import-modules,sindresorhus,Import all modules in a directory,137,14,5,0,0,5,JavaScript,2016-07-05T10:39:55Z,2025-07-17T16:49:43Z,https://github.com/sindresorhus/import-modules,True
sindresorhus_import-modules,import-modules,sindresorhus,Import all modules in a directory,137,14,5,0,0,5,JavaScript,2016-07-05T10:39:55Z,2025-07-17T16:49:43Z,https://github.com/sindresorhus/import-modules,True
davidchambers_doctest,doctest,davidchambers,Doctests for JavaScript (and CoffeeScript),168,15,10,1,1,32,JavaScript,2012-05-07T04:05:41Z,2025-07-11T10:19:39Z,https://github.com/davidchambers/doctest,True
davidchambers_doctest,doctest,davidchambers,Doctests for JavaScript (and CoffeeScript),168,15,10,1,1,32,JavaScript,2012-05-07T04:05:41Z,2025-07-11T10:19:39Z,https://github.com/davidchambers/doctest,True
martinkavik_seeder,seeder,MartinKavik,Set up Seed app and start dev server by running one command,43,2,9,5,0,0,,2020-02-11T09:19:08Z,2024-12-05T23:48:13Z,https://github.com/MartinKavik/seeder,True
martinkavik_seeder,seeder,MartinKavik,Set up Seed app and start dev server by running one command,43,2,9,5,0,0,,2020-02-11T09:19:08Z,2024-12-05T23:48:13Z,https://github.com/MartinKavik/seeder,True
